q_value,value1,value2
Q1056708,ed17100c-fe72-4652-a674-da6e4de6e56f,1930-09-29T00:00:00Z
Q1056782,1554dd82-b43b-4519-b683-398809438bfd,1924-01-16T00:00:00Z
Q1056805,4b0e51ee-a024-4540-a6f4-abf4b5488647,1980-03-27T00:00:00Z
Q1056964,f807787d-4f94-40e7-a8da-5ac072e3fef3,1921-06-03T00:00:00Z
Q105771373,44d1a544-f44a-49cd-a23e-07d1a07f887b,1991-12-03T00:00:00Z
Q1057727,2560eae8-125a-4415-be55-7988b1f587a1,1944-04-25T00:00:00Z
Q1058124,c0839965-af8c-4446-ae1b-bd6e59775d61,1961-07-30T00:00:00Z
Q105821097,b7373052-5fda-49d5-9bab-a1ddd7e7d552,1983-01-15T00:00:00Z
Q105823175,418c6f80-6798-4f21-a1af-8f2019c08646,1992-10-04T00:00:00Z
Q1058390,1ddd3f65-8158-4845-a2a3-abbdf9e49748,1951-06-26T00:00:00Z
Q105988405,a64109f7-b699-4290-b33e-fab5a043f198,1951-01-01T00:00:00Z
Q1060422,66e78d6c-a041-415d-b341-2abe0ae56bde,1920-01-19T00:00:00Z
Q106054859,989a9bca-5216-4eae-959a-f2bd56635b4d,1954-07-21T00:00:00Z
Q106057,edd6a7c3-d174-4e5b-9134-0f0cc6e2b0a5,1921-10-13T00:00:00Z
Q106076641,27f4c6db-a81e-479d-ab9d-fb05a59acc07,1985-10-15T00:00:00Z
Q106107224,83d74820-6a4c-4557-a18b-9c22f1f0e00f,1986-02-18T00:00:00Z
Q106299615,3d82e116-6041-46a1-ba45-d204d81e7b17,1985-02-14T00:00:00Z
Q106394492,fffab962-0ab3-40e8-9919-1315e31b33f9,1984-03-19T00:00:00Z
Q106436726,6b977d1e-d697-44ce-9e23-3486dfae2aca,1962-06-16T00:00:00Z
Q106460577,51e7d6bb-2873-4949-9c80-a8929bdb33b9,1975-09-20T00:00:00Z
Q106472315,aecf98a1-e39e-4ef7-9afb-2fba69ac2b37,1993-03-20T00:00:00Z
Q106506603,8367de3d-1da2-44d0-b3d9-2d5cb6c81c1d,1995-01-01T00:00:00Z
Q106511393,e2fadc58-1dd7-46a6-a5e2-2c9adf888329,1996-08-20T00:00:00Z
Q106512414,08db5f21-a55a-42f0-bc1d-f20d8dddd607,1946-10-15T00:00:00Z
Q106512414,33c7b6fc-46fd-4c16-bf4d-07d0e161f37c,1946-10-15T00:00:00Z
Q106558892,ece6b6f0-b7d7-4bd2-9143-b98b35501373,1950-03-12T00:00:00Z
Q106582363,a89d0710-bcd1-4fca-9165-fe7bc8550881,1985-08-06T00:00:00Z
Q106582363,b2f8caac-e639-4c18-a7d3-082c3940801a,1985-08-06T00:00:00Z
Q106594453,3b55e5e7-0699-49d2-a2bd-f34269b1184c,1993-01-01T00:00:00Z
Q106686912,126c22fb-a7a1-4c46-bab5-e7f17dc141da,1992-05-26T00:00:00Z
Q1067040,26b065ae-85b7-49fb-9368-678217a97ec6,1961-11-26T00:00:00Z
Q106704779,4dc903c2-76a6-4dd8-be18-510b101cc784,1992-02-16T00:00:00Z
Q106730034,d41ec750-927e-43fa-95ce-e38ce5b42e01,2000-01-01T00:00:00Z
Q106777327,6acac8b5-e77e-4ce8-bafa-d6d651716aed,1998-10-13T00:00:00Z
Q106859392,e33c333f-205c-4d06-a35a-ba441ec74213,2000-04-28T00:00:00Z
Q106859395,b6dd3d6e-54e4-43e3-b952-98cc9a046733,2001-01-18T00:00:00Z
Q106859398,7d044803-8f1d-4f7e-9d92-c479c46e6692,2000-10-08T00:00:00Z
Q106890514,141558dc-31f0-424e-8b2b-f2155bc21c9b,1958-01-26T00:00:00Z
Q106919,fe058e98-7b42-406e-aaed-7d537250d7f0,1930-04-21T00:00:00Z
Q106919,fe058e98-7b42-406e-aaed-7d537250d7f0,1930-04-23T00:00:00Z
Q106940,4854ea0c-5d3f-4299-9ac7-ea0e87471a97,1921-05-31T00:00:00Z
Q1069686,70471771-c08d-4ea3-8e6d-6499d1f394fe,1971-02-24T00:00:00Z
Q106988,24b29b2e-e97a-4843-978a-2a766ea68a87,1932-06-19T00:00:00Z
Q106998745,ab59ae62-246d-40bd-b697-c5a8343254c7,1957-07-02T00:00:00Z
Q107006,fd11fc26-6276-4b11-8065-e40407fc732a,1938-04-15T00:00:00Z
Q107066810,d97c9e0d-96d2-4cdc-874b-4d6e6c13e55d,2003-01-09T00:00:00Z
Q107078970,778daa28-64d1-432f-ac38-34600afc24ff,1983-07-11T00:00:00Z
Q107123444,1aa00b34-ccfc-468d-aa4c-425e1b8eb7f8,1963-01-01T00:00:00Z
