item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q16582348,Q16582348$210F5371-E2A8-47A8-ABF4-9FCF047EAA63,P569,1930-01-05,Q1985727,1927-01-05,https://musicbrainz.org/artist/ef532154-8c60-4fdd-b4a8-533d09fb5c47,statement
Q16590252,Q16590252$84881ABC-BA0D-478A-BE3F-4B9DBF04DFF9,P569,1942-03-23,Q1985727,1942-10-23,https://musicbrainz.org/artist/b6dae981-5673-4a03-8e90-ed82b8f1d7a5,statement
Q1661955,Q1661955$5B31E35A-D62F-487B-BEEE-99EE8A6B9F87,P569,1951-03-26,Q1985727,1950-03-26,https://musicbrainz.org/artist/7a19d99b-1dd4-43be-a016-24e340b1166f,statement
Q16623103,Q16623103$276C8943-14C3-4344-A1B2-2A53146A2197,P569,1931-08-15,Q1985727,1932-07-30,https://musicbrainz.org/artist/ec790dbe-0691-413a-97e8-9def8396fa77,statement
Q17143550,Q17143550$d6a82e1d-4bfd-5e52-b08f-a97b85d5f7f6,P569,1988-10-02,Q1985727,1988-08-19,https://musicbrainz.org/artist/e80fe1dd-7100-48f6-80aa-ec13423d735d,statement
Q1718361,Q1718361$134F0DC6-8478-4C3F-ADE2-9ED572AF5452,P569,1946-11-13,Q1985727,1946-11-15,https://musicbrainz.org/artist/00edbdbd-cac7-48d3-b69a-5b0bc89ae0f8,statement
Q17229673,Q17229673$b5c7af97-4eee-2e46-47cd-f4d16b8e4e5e,P569,1983-00-00,Q1985727,1982-10-20,https://musicbrainz.org/artist/29ed280a-6604-4056-b055-3d336e62d07a,statement
Q17231808,Q17231808$4575A0EB-B910-4DF8-B3F0-E3BACB6C50B1,P569,1957-01-01,Q1985727,1957-12-29,https://musicbrainz.org/artist/73b4ad36-f610-4994-a299-29e4000542f0,statement
Q17280067,Q17280067$315AA834-D16B-4525-A304-1D2A7D7420FB,P569,1986-08-17,Q1985727,1986-08-19,https://musicbrainz.org/artist/4d347997-e868-4ad7-a1b7-20363597a42b,statement
Q17485904,Q17485904$CEFA7F74-A26D-40F6-8D72-101F242FC629,P569,1987-04-00,Q1985727,1987-04-11,https://musicbrainz.org/artist/29c4b780-61db-4d7a-9f6b-ccb0e832bb11,statement
Q1762760,Q1762760$c7c9e307-4b27-93e8-fd48-58265154c4e3,P569,1905-01-05,Q1985727,1903-01-06,https://musicbrainz.org/artist/f4d9cffe-f09a-474c-8d9c-5bd0242b2f6f,statement
Q1782018,Q1782018$C6132CEF-0E55-44D5-A987-56B6EA482837,P569,1969-01-01,Q1985727,1969-10-01,https://musicbrainz.org/artist/f18e04bc-4479-4301-a6e8-042da4a3a174,statement
Q179262,Q179262$7CE15088-D320-4199-B6A1-6078FD894E7B,P569,1954-01-01,Q1985727,1954-07-18,https://musicbrainz.org/artist/7c3cab27-2ce0-4087-bb95-30bac716c651,statement
Q179262,Q179262$7CE15088-D320-4199-B6A1-6078FD894E7B,P569,1954-01-01,Q1985727,1954-07-18,https://musicbrainz.org/artist/7c3cab27-2ce0-4087-bb95-30bac716c651,statement
Q18331994,Q18331994$0EB00A9E-CB6D-4EBD-BDE7-47388479EA36,P569,1983-01-01,Q1985727,1983-04-19,https://musicbrainz.org/artist/7a1ffcb2-b2ca-4b92-9a29-ae05d8f95358,statement
Q18599329,Q18599329$01BC0270-466A-425D-AA74-5F29844FA824,P569,1946-00-00,Q1985727,1946-05-16,https://musicbrainz.org/artist/502dbba2-23a0-4687-add2-5ddeb2f69978,statement
Q1872996,Q1872996$139C59A3-BACF-4518-9CEF-76670D0EAFAA,P569,2000,Q1985727,1969,https://musicbrainz.org/artist/2fa69aa1-8570-42d4-9c49-fc1665544877,statement
Q1907644,Q1907644$D3347403-EFCE-42E9-B1F6-43E17E43300E,P569,1975-01-01,Q1985727,1975-06-18,https://musicbrainz.org/artist/596ae19e-aaa3-4947-9e3b-0ffec1b97eef,statement
Q1907675,Q1907675$9158B913-C5D8-419E-864D-436A803BC532,P569,1965-05-16,Q1985727,1965-03-16,https://musicbrainz.org/artist/8b5d3e90-41d1-48e4-92f6-fb6a4b323ff2,statement
Q1931082,Q1931082$A2B9F556-DF13-41BD-AA7B-9E78E12475E2,P569,1978-07-18,Q1985727,1978-06-08,https://musicbrainz.org/artist/e709a918-4796-4d2d-8709-64be0dc45a00,statement
Q19843919,Q19843919$62E34821-8D2A-4FA1-B78A-B231D4A4332B,P569,1933,Q1985727,1932,https://musicbrainz.org/artist/5cc80001-7689-4927-ab8f-8ab1ebcdd931,statement
Q1986331,Q1986331$0E986BC6-40EF-401D-9FC3-46426D508D99,P569,2000,Q1985727,1966,https://musicbrainz.org/artist/58c4ef6e-d065-4569-be73-d0f2e3b7cd8b,statement
Q19984547,Q19984547$887E3EFD-F0FA-4CF2-929E-BA0E6DB1351D,P569,1928-10-23,Q1985727,1926-10-23,https://musicbrainz.org/artist/a7b3dade-ec41-4360-a47e-72f45f654158,statement
Q19984629,Q19984629$C0E99065-926B-4F7E-AC8D-40B3A63E95B9,P569,1989-07-28,Q1985727,1987-07-28,https://musicbrainz.org/artist/a5874475-24d2-46e0-b8c5-dd5e717e342e,statement
Q20007864,Q20007864$A8F283FD-9910-4AC9-902B-9F247872B47E,P569,1982-00-00,Q1985727,1982-02-05,https://musicbrainz.org/artist/b6b97651-112f-483d-9e3e-08105109bfc0,statement
Q21207509,Q21207509$004CD61C-7468-42C5-860F-C626D0B67765,P569,1972-05-27,Q1985727,1966-11-28,https://musicbrainz.org/artist/0b7fbd64-ca59-452e-a3f6-54ec1b3c7a12,statement
Q21207787,Q21207787$F5F294F4-5B6F-4821-9828-6C18F91B8017,P569,1972-06-28,Q1985727,1972-06-27,https://musicbrainz.org/artist/e156898f-2d1d-46b3-9a95-7ad02d51cdc0,statement
Q21207923,Q21207923$932A0880-BC06-45BB-A717-5D8434B2955C,P569,1981-11-21,Q1985727,1978-11-21,https://musicbrainz.org/artist/90bc9f71-c0bc-4dcd-bfa5-125373d9052f,statement
Q21272282,Q21272282$C0B25D25-3E58-4B7F-8A45-A29C0FD72495,P569,1934-08-03,Q1985727,1934-08-30,https://musicbrainz.org/artist/a8c5ed2a-0d3a-42ca-99eb-8efa8379e9a4,statement
Q214665,q214665$E8778472-FEC4-4702-94A7-544C52D34C6A,P569,1911-12-04,Q1985727,1911-12-03,https://musicbrainz.org/artist/d52ac009-4ed5-4d01-97d5-8280bb7dd460,statement
Q231781,q231781$C22011B4-73F6-4985-A0AB-31301E14D5F4,P569,1943-09-24,Q1985727,1943-09-23,https://musicbrainz.org/artist/9c932d12-5742-42e9-aa07-02eac0fd3d33,statement
Q23908041,Q23908041$48E7D222-CF01-464C-B189-B5AE14338812,P569,1965-04-22,Q1985727,1965-05-27,https://musicbrainz.org/artist/11432f25-fad8-4485-8e6c-b4848d8490b8,statement
Q240890,Q240890$d20645d2-f0c2-469d-85ef-4f1520ea2e9c,P569,1933-02-24,Q1985727,1934-02-24,https://musicbrainz.org/artist/dbf61f1e-77f3-4393-8be4-890eccdae102,statement
Q24288580,Q24288580$440991d4-cf7f-426a-baf0-964860dee018,P569,1975,Q1985727,1974,https://musicbrainz.org/artist/3983476f-5c01-4b3c-ae1b-9870f7e9cf5a,statement
Q2478136,Q2478136$D35C85B5-5A66-473B-B02F-75D56D992EF5,P569,1960-07-15,Q1985727,1960-05-15,https://musicbrainz.org/artist/2d091766-5bb1-4b1c-9618-3ba96f3479e5,statement
Q2521435,Q2521435$64DE55C6-7D5E-432B-97FE-B764C81D1C54,P569,1975-03-00,Q1985727,1975-03-26,https://musicbrainz.org/artist/f7b59ffb-5e16-4eec-84a2-aac3e1c92007,statement
Q25560176,Q25560176$5CD646B7-D8FB-4004-9854-4C96A7BD5044,P569,1993,Q1985727,1992,https://musicbrainz.org/artist/4f249a17-19f1-4931-8a49-16b5e270bd69,statement
Q25883959,Q25883959$EFD14558-BF8F-4767-8321-2563886CCDCB,P569,1901-01-01,Q1985727,1951-11-24,https://musicbrainz.org/artist/c7028b1d-553c-406b-bdd6-20e5d5f7d78a,statement
Q25883959,Q25883959$EFD14558-BF8F-4767-8321-2563886CCDCB,P569,1901-01-01,Q1985727,1951-11-24,https://musicbrainz.org/artist/c7028b1d-553c-406b-bdd6-20e5d5f7d78a,statement
Q26261176,Q26261176$75E8B6D7-D5DF-47B5-92B4-10D17BB75980,P569,1956-11-14,Q1985727,1965-11-14,https://musicbrainz.org/artist/91575f05-138e-4e53-8dd3-75dc02bc4bfc,statement
Q271505,Q271505$B59FC726-9AD2-4922-ABEC-413128ACB0C6,P569,1984-08-15,Q1985727,1984-08-13,https://musicbrainz.org/artist/efb3bb55-5097-4d78-9564-2792d99ea845,statement
Q2750627,Q2750627$7A5AE90C-1CF7-48A9-AB57-36B8C6B21C62,P569,1885-08-16,Q1985727,1885-08-15,https://musicbrainz.org/artist/04af3c16-58bc-43df-88a4-13ff3b43bb9d,statement
Q2754547,Q2754547$A509CC00-FF64-40BE-80BF-E3D61FFCB948,P569,1949-01-01,Q1985727,1949-06-03,https://musicbrainz.org/artist/bb711162-e27d-487f-b053-87c51ed9b301,statement
Q276038,q276038$DDDA3AAA-9349-411A-9867-98F122FFD962,P569,1940-07-28,Q1985727,1941-07-28,https://musicbrainz.org/artist/eb458ad6-7070-47af-ad92-968ea0b9dce2,statement
Q28053409,Q28053409$1251c091-40e0-c7fb-fd86-23523abb7bd7,P569,1980-00-00,Q1985727,1980-07-23,https://musicbrainz.org/artist/6ee8d1b6-3e6b-4d4c-85c6-45d8b1428399,statement
Q28549389,Q28549389$a02bc50d-44f9-dc8c-996d-f5e6a1d44f4f,P569,1918-01-17,Q1985727,1921-01-17,https://musicbrainz.org/artist/e20e1910-d50c-43ba-8153-40db94becabc,statement
Q28739657,Q28739657$bb96c3a4-4116-7c11-9b75-a9094e34a369,P569,1938-06-05,Q1985727,1948-05-05,https://musicbrainz.org/artist/540722f1-35b5-4a8c-82e9-5c80ff4c1be5,statement
Q29647594,Q29647594$f32e13b3-4f8f-8c88-3e88-26ca224791b2,P569,1907-10-28,Q1985727,1897-05-17,https://musicbrainz.org/artist/843e84d3-ab9d-4326-be7f-f052efa367d5,statement
Q3014938,q3014938$D9FFFA5B-6CE0-438F-B72B-BF95C223ACAF,P569,1961-01-26,Q1985727,1961-10-26,https://musicbrainz.org/artist/cc08a17b-fd67-4377-a048-c6e43c1fc5b3,statement
Q3035154,Q3035154$FD94B3AE-242F-4CDE-9FB8-0A9DDA7E2DDD,P569,1979-08-07,Q1985727,1979-08-11,https://musicbrainz.org/artist/17d2927a-8198-4edf-be46-880549a6da83,statement
Q3055545,Q3055545$DDC64A28-723D-4044-B9C1-D85131A84CDE,P569,1893-08-18,Q1985727,1893-08-19,https://musicbrainz.org/artist/07496c50-adce-4d23-87d1-2d021815719e,statement
Q3055545,Q3055545$DDC64A28-723D-4044-B9C1-D85131A84CDE,P569,1893-08-18,Q1985727,1893-08-19,https://musicbrainz.org/artist/07496c50-adce-4d23-87d1-2d021815719e,statement
Q3059600,Q3059600$79C767CC-9CC7-4288-9CE2-EB33C15BBABC,P569,1947-03-16,Q1985727,1948-03-16,https://musicbrainz.org/artist/99689dd2-6aa8-49fe-9387-1039befb9ad3,statement
Q3087781,Q3087781$DAB099B4-969F-403A-8B1B-48546BCD2325,P569,1936-12-16,Q1985727,1936-09-16,https://musicbrainz.org/artist/856463fe-dfae-4ad7-8878-6ac401cbc08a,statement
Q3094269,Q3094269$10638F56-9D1C-4C27-97E2-6035A1084382,P569,1934-01-01,Q1985727,1934-04-14,https://musicbrainz.org/artist/24f2fbc3-aec0-4609-8efc-1e01d6337159,statement
Q312392,Q312392$98168030-D972-47B6-9320-6FFA1F83C002,P569,1899-02-19,Q1985727,1899-02-18,https://musicbrainz.org/artist/13e9e591-6b8d-45ad-9706-d8409a94433f,statement
Q312617,Q312617$11DCFD9A-1679-4B5A-AB0E-4FEA11306E8B,P569,1494-03-08,Q1985727,1495-03-08,https://musicbrainz.org/artist/85da8003-b7e7-45c9-b693-5e1d4f6d744e,statement
Q3180006,Q3180006$2D15F2CD-ADA6-421B-8101-0E3E5962114B,P569,1973-11-25,Q1985727,1973-09-25,https://musicbrainz.org/artist/c71336d0-fe7c-4192-ae44-8fd665f5cc1d,statement
Q318633,q318633$8955FA86-08D2-420C-A7AA-1177B3FE11B4,P569,1920-01-05,Q1985727,1920-01-06,https://musicbrainz.org/artist/f0eca52a-cece-4844-9902-46c55f82aa5a,statement
Q3247339,Q3247339$C1BFE084-EFBF-4291-825B-6ECECA099CD9,P569,1938,Q1985727,1963,https://musicbrainz.org/artist/230322c8-51ca-42a1-b7e1-bb738e7621f9,statement
Q325166,Q325166$431E98EA-BC44-431A-B625-60AF874F4666,P569,1956-06-18,Q1985727,1956-06-19,https://musicbrainz.org/artist/e68349bc-4d87-4f99-8d17-04d5c29c1acb,statement
Q3290096,Q3290096$E4B1D973-7C46-4234-9955-581B146AEB9A,P569,1953,Q1985727,1952,https://musicbrainz.org/artist/6cc1dbc9-bd28-4c7a-a296-186bd7d57901,statement
Q3452937,Q3452937$5767AA0A-7CD6-48E1-8D13-9C702C8C8C50,P569,1899-05-01,Q1985727,1899-01-05,https://musicbrainz.org/artist/abf01e67-e47b-4a55-9f97-3afa9bd8e04b,statement
Q3560435,Q3560435$48C8EF05-A21F-4C84-948B-75E37E2FFA9F,P569,1953,Q1985727,1977,https://musicbrainz.org/artist/7efc0055-52a0-4150-8e4f-91ec7157b6c6,statement
Q3610175,Q3610175$AC9BEDDF-40CA-4E78-9D8E-EECF224E2379,P569,1976,Q1985727,1974,https://musicbrainz.org/artist/f433cef0-27e9-4389-8a66-3470f00b4dd7,statement
Q3610228,Q3610228$A740F7A5-BE2C-44C8-9F9F-E7F1EAA0A11D,P569,1942-07-08,Q1985727,1942-03-21,https://musicbrainz.org/artist/f365d43d-726e-42b7-8bb3-a67fd9387055,statement
Q3610545,Q3610545$53714143-C11A-4949-A99E-C7C3DB592DEC,P569,1982-00-00,Q1985727,1982-07-23,https://musicbrainz.org/artist/2df22524-7c7b-423b-bf0d-4bf2281e8652,statement
Q3612431,Q3612431$ADAC8755-5092-4AEA-A132-3BD0C7D13D78,P569,1984-08-03,Q1985727,1973-08-03,https://musicbrainz.org/artist/94cd4101-a2c2-437b-b036-755e5e32ce6a,statement
Q3613457,Q3613457$56b8190e-41ce-e2c9-6b45-e3ffde9a5f5a,P569,1915-08-29,Q1985727,1925-08-29,https://musicbrainz.org/artist/f171a938-c5e9-4c29-8e8b-aa0f09de5c76,statement
Q3614355,Q3614355$091DFFD3-7DF8-44C7-AC6D-D1AED93EFACB,P569,1979-12-10,Q1985727,1978-12-10,https://musicbrainz.org/artist/97075818-9f58-468a-90c8-719bbfab05e9,statement
Q3615839,Q3615839$807D0507-B0E0-4E88-A923-239F394FC34C,P569,1979-05-02,Q1985727,1979-03-02,https://musicbrainz.org/artist/a26bbde6-40ca-423a-8480-c37a8fb9d79b,statement
Q3618982,Q3618982$71772111-5EB7-488E-9D73-1348ACAC8073,P569,1942-06-08,Q1985727,1942-06-05,https://musicbrainz.org/artist/50406ed1-4203-4924-a5e5-cc7f25ef4fe1,statement
Q3623783,Q3623783$0857297D-9D66-4DDC-B1F1-B127BE0D357A,P569,1928-01-01,Q1985727,1928-08-03,https://musicbrainz.org/artist/2ca209a8-a1c7-4f81-bba8-57d6c7807012,statement
Q362545,Q362545$8E34F386-BA29-4DF7-9758-6FC300EE2DEB,P569,1913-01-17,Q1985727,1913-01-07,https://musicbrainz.org/artist/5efd875d-851c-4dc7-8dee-54d49dc91fc7,statement
Q3629778,Q3629778$1CE8BB5E-14C2-4E48-B044-BFE8CE5EEC96,P569,1939-03-05,Q1985727,1936-03-05,https://musicbrainz.org/artist/e757eb2d-bf97-42e9-b32a-bfedc01d5084,statement
Q3632385,Q3632385$1F234F18-BFC2-4EAC-A50A-6C56583A4F93,P569,1941-11-16,Q1985727,1931-11-16,https://musicbrainz.org/artist/769aa7c4-d819-442b-a8a3-66902bc23981,statement
Q3637229,Q3637229$30FC4336-C084-43A0-B33C-2839E6E2C78A,P569,1980-07-27,Q1985727,1982-07-27,https://musicbrainz.org/artist/a169e57a-7df5-409c-b7b1-d5fb48502b4b,statement
Q3640319,Q3640319$996FE04D-DFA2-4570-91E4-1B66C5D1ED2A,P569,1909-04-11,Q1985727,1909-05-11,https://musicbrainz.org/artist/1678cbdc-03d9-43db-bbf0-17e57f32dd49,statement
Q3640319,Q3640319$996FE04D-DFA2-4570-91E4-1B66C5D1ED2A,P569,1909-04-11,Q1985727,1909-05-11,https://musicbrainz.org/artist/1678cbdc-03d9-43db-bbf0-17e57f32dd49,statement
Q3645555,Q3645555$b09c71b2-47a5-5f41-c414-ff6aff481ff7,P569,1896-10-15,Q1985727,1905-10-15,https://musicbrainz.org/artist/dab49ca9-7653-46c1-83aa-a0fe3b981bae,statement
Q3648240,Q3648240$17776B06-987D-49C0-9306-027299A0F374,P569,1972-05-16,Q1985727,1972-05-17,https://musicbrainz.org/artist/827bb3c8-477a-4f59-bf9a-b58fd5a21582,statement
Q3659617,Q3659617$F90165E5-1FFA-4C47-93E9-EADA3610D37F,P569,1929-01-01,Q1985727,1929-01-27,https://musicbrainz.org/artist/2bc14555-e608-4be3-aa53-f3ca2d792815,statement
