q_value,value1,value2
Q103863,9b907aab-f7be-4c90-94b1-07301adb4b72,2015-07-26T00:00:00Z
Q103869,f1a38c99-2136-4ffb-ad43-dc7d483b3c1d,2015-06-28T00:00:00Z
Q1038722,ca577baa-c9ab-443e-86a7-da13227180ea,1836-07-02T00:00:00Z
Q103881,26f02319-c3ac-4904-b198-d0a15630bd69,2000-09-30T00:00:00Z
Q1038972,c3b36ffe-1300-42e4-8781-bcd7d3441d2c,2010-08-24T00:00:00Z
Q1039424,582173b3-7f13-44da-a30f-2fa634613942,1969-05-08T00:00:00Z
Q103961,fa907214-f199-4a29-9738-66042ad944d0,1985-07-26T00:00:00Z
Q1039690,e0099486-1514-4645-98ed-fc67f356eee8,1992-05-25T00:00:00Z
Q1039868,7fb3dabd-104c-480f-8307-cab173218ffd,1957-03-21T00:00:00Z
Q103998,03b87f1d-fbdb-4422-8e06-902ce6e63e72,1983-04-25T00:00:00Z
Q1040384,558b4ae0-3a15-4fcd-ae2f-63254736077c,1954-10-05T00:00:00Z
Q104054877,8448cd7d-4754-45ef-bc20-a30a0284b354,2011-01-23T00:00:00Z
Q104056,c8f40911-a831-43ce-b602-4198f22c37a8,1809-07-08T00:00:00Z
Q104077,544c3db2-397c-4aff-b5e4-02e7ebfd9e8e,2009-02-11T00:00:00Z
Q104084,ad20f63b-227d-423b-9b98-20b4aceaca6d,2009-11-06T00:00:00Z
Q1041073,4d95f519-3d5b-4438-862b-2501d3b2dfb3,1848-07-22T00:00:00Z
Q104110,8aadf3df-8e85-4d67-b97c-d50c4dca3d2b,2016-09-20T00:00:00Z
Q1041114,1c2e83b7-366e-4a6c-9773-3fc860ea6b08,1801-02-28T00:00:00Z
Q1041514,01f501c2-655c-4d43-9898-2a4f33c0dc10,1971-01-16T00:00:00Z
Q1041567,d8af5a37-d9d0-4217-9c32-8fd77347f905,1953-10-19T00:00:00Z
Q104181,9b31e28b-692c-46b2-b897-924eb5bb7b7a,2022-02-14T00:00:00Z
Q1041884,2433d0d8-d15a-49f5-a4d0-91bc4ddfdd0f,2004-06-05T00:00:00Z
Q1042849,61c59ac6-79c7-44ca-9f3d-ee0ea96f663c,2000-05-31T00:00:00Z
Q1044216,cc328348-d252-49e1-98be-e2d0ec1af281,2014-08-01T00:00:00Z
