item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q13583752,Q13583752$BDFB8C12-6C9A-4FD9-B99E-C80DFDBA9D73,P570,2000,Q1985727,1949,https://musicbrainz.org/artist/15f4b74a-d645-4575-becd-b78f4a5118a2,statement
Q1360683,Q1360683$97095194-E1F7-49CF-AD9A-49B9F30E7B84,P570,1992-01-22,Q1985727,1991-01-22,https://musicbrainz.org/artist/3a3fef35-8bb1-4a43-9bed-e69c96e0a90f,statement
Q1363955,Q1363955$8B0E30AA-4928-41D9-9CFF-0253964CC2A1,P570,1985-01-18,Q1985727,1985-01-21,https://musicbrainz.org/artist/37d64685-a2fe-4134-8390-fc8d961491ba,statement
Q1379528,Q1379528$CF60E3BB-2A15-43B9-92A7-B8E6C68D91A5,P570,2010-01-28,Q1985727,2010-06-28,https://musicbrainz.org/artist/59126592-0024-4ae2-b32e-9db06e5bc50c,statement
Q1397472,Q1397472$CFE9E41E-AA99-4DE6-9475-0244232F80DA,P570,1997-12-26,Q1985727,1997-12-29,https://musicbrainz.org/artist/cc6ab753-b072-4a21-98ff-133e217444d4,statement
Q1398704,Q1398704$4C7A8414-C98E-46BF-8EC1-981D0E1455F6,P570,1908-05-31,Q1985727,1908-05-29,https://musicbrainz.org/artist/c3d3202d-a4d3-4ae4-aff7-6fa1c92a45dc,statement
Q1400611,Q1400611$893DD0BC-E216-48EC-A6C1-F1FB9DBB0FBF,P570,2006-04-15,Q1985727,2006-04-16,https://musicbrainz.org/artist/d72cb572-92bb-4546-95c0-28f336f05092,statement
Q1405012,Q1405012$D2A74154-653A-4FFD-94BC-05B7A7E4650A,P570,2008-07-22,Q1985727,2008-07-29,https://musicbrainz.org/artist/7fde8bde-a40e-4a8c-9589-025681dea5f7,statement
Q1405012,Q1405012$D2A74154-653A-4FFD-94BC-05B7A7E4650A,P570,2008-07-22,Q1985727,2008-07-29,https://musicbrainz.org/artist/7fde8bde-a40e-4a8c-9589-025681dea5f7,statement
Q1412104,Q1412104$7F0E207F-EC77-485D-B4CC-EB6F66A18F5D,P570,1907-06-19,Q1985727,1907-05-19,https://musicbrainz.org/artist/898cf6e0-65a9-48b7-9ba6-cdba5c3a6f66,statement
