q_value,value1,value2
Q1146764,a3a92047-be1c-4f3e-8960-c4f8570984df,2002-01-01T00:00:00Z
Q1151640,a8be3422-d905-42c9-90b6-90ee45e3e938,1995-01-01T00:00:00Z
Q1151661,f4c967a4-7591-4bba-8237-82e171a2fa7f,1976-01-01T00:00:00Z
Q115435770,52ef8993-ba2a-4566-a191-369c92fc923d,1996-01-01T00:00:00Z
Q1155614,bbd2242b-1e2c-49e6-9572-652fee7f8ed0,1992-01-01T00:00:00Z
Q115728317,f0712363-3aaf-4e23-8e10-09a26e7ffa08,1991-01-01T00:00:00Z
Q1161175,24a90cfe-9fc5-4e4f-ba9b-db90c6df5dc2,1966-01-01T00:00:00Z
Q1163207,230ca093-1d00-4c57-9235-147942f66930,1961-01-01T00:00:00Z
Q1163351,b49efb71-3cb2-4770-a028-2422a69b3d2b,1987-01-01T00:00:00Z
Q116385,93aaa233-6b5f-41bf-bfe8-70cf1552c218,1995-01-01T00:00:00Z
Q1163975,5a597939-2e96-4de0-bda9-d1bbac8ebfda,2001-01-01T00:00:00Z
Q116447,3e8453dd-9323-40ec-a041-953fba1f9870,2004-01-01T00:00:00Z
Q1165439,1533b219-74ef-4512-826f-42bca397fbb4,2007-01-01T00:00:00Z
Q1165655,e135d690-9c53-4333-8f11-98aec8c9f434,1975-01-01T00:00:00Z
Q1166808,a43a7299-7cc5-4d75-8451-485cc600437e,1976-01-01T00:00:00Z
Q116730323,8b52e683-caa2-4460-b38c-ffbb5ae009d5,2017-01-01T00:00:00Z
Q116741598,ba579d19-f99a-42df-bdb7-2070ec1209dd,2017-01-01T00:00:00Z
Q116769887,17266045-90cd-47cc-96bc-39e15d71d79e,2012-01-01T00:00:00Z
Q11682989,b6c83b1a-83ef-41cf-be0c-a933a032e8da,1999-01-01T00:00:00Z
Q116925725,6a8f332b-a26d-48c3-afd9-b167abfb4562,2016-01-01T00:00:00Z
Q116929572,50b4e3a6-be0b-4e42-bea2-4e5c1446c536,2019-01-01T00:00:00Z
Q116948402,3c3b2e36-2176-4708-826b-80674021a7c6,1972-01-01T00:00:00Z
Q116972151,5986aff2-10c3-4736-bf5a-2ce4a6f3aa8e,2022-01-01T00:00:00Z
Q116974472,09e7855a-03a4-4a81-a29d-9b86cda6513c,2013-01-01T00:00:00Z
Q117038086,75b53909-e1ad-437c-bd73-e942bc2ea8f0,1983-01-01T00:00:00Z
Q117089090,f540bc69-e026-4a79-8c6e-bf9086c660c9,1964-01-01T00:00:00Z
Q117393246,a1705667-679d-45d4-9fec-465397002f08,1982-01-01T00:00:00Z
Q117522,35723b60-732e-4bd8-957f-320b416e7b7f,1996-01-01T00:00:00Z
Q117791548,90ef7f43-dc07-47d9-b79c-9183a4f2d6a9,1970-01-01T00:00:00Z
Q1180767,1d46cb3a-8071-45ba-855e-74e3cff20974,1985-01-01T00:00:00Z
Q1181285,463f056c-56bf-429d-b3a3-f8fe467c427d,1981-01-01T00:00:00Z
Q1181292,5b32946a-4c08-4a75-b1b1-60700470671f,1994-01-01T00:00:00Z
Q1182531,aa82ff2a-77ea-4f64-a342-8cb12a985c6c,1545454-01-01T00:00:00
Q1183784,5b86617f-e775-4675-b6d3-c4ad95d05409,1983-01-01T00:00:00Z
Q11838808,dacc2d64-7e59-42a8-87a9-10c53919aff2,2008-01-01T00:00:00Z
Q1184062,0a4c7d0c-ffca-45a0-bfac-b328c4f0d219,1975-01-01T00:00:00Z
Q1184300,2393e891-c63c-4654-b7a9-c5fb9dc0c8a0,1992-01-01T00:00:00Z
Q1184632,01ab4dea-a4eb-419c-ae2b-dd0b7bc78883,2009-01-01T00:00:00Z
Q1185394,fe756f55-e4ef-4eb0-a750-fb0ec1d872c5,2011-01-01T00:00:00Z
Q11854912,27c09cde-3b0f-4e6e-a2aa-8679050ea1a1,2003-01-01T00:00:00Z
Q11861135,2512faa5-b630-49fd-a1a7-03aeeb5393ec,1970-01-01T00:00:00Z
Q118630657,16033e0d-0fc5-45ec-81a5-2517903c890f,2010-01-01T00:00:00Z
Q1186426,6fe68e16-dcce-498e-99ea-c35a496b3ac9,1979-01-01T00:00:00Z
Q1187193,f3889077-92a0-4cda-894b-0fb0cbb70eda,1992-01-01T00:00:00Z
Q118952619,ffe9fbb6-915a-41d9-b7c2-2f3e8a63bd9a,2010-01-01T00:00:00Z
Q118984380,eb585ca3-0b40-4210-b07b-4485e27603cb,2007-01-01T00:00:00Z
Q1190060,a6339659-c879-4f88-9908-206d47963e29,1966-01-01T00:00:00Z
Q119021,0d81d4d8-8a33-4dd6-a90f-46f7667650d4,1972-01-01T00:00:00Z
